"年月","產業別","企業產業貸款總家數","企業產業貸款總金額[仟元]","企業產業貸款平均金額[仟元]"
201804,"09服務業",23000,3243307456,141013.37
201804,"10營建業",21847,2717876987,124405.04
201804,"11投資業",15,89854258,5990283.87
201804,"12金融保險業",3420,1012752046,296126.33
201804,"13其他",144,15084908,104756.31
201805,"01民生必需品製造業",7337,715385769,97503.85
201805,"02金屬製造業",9522,790975463,83068.21
201805,"03非金屬製造業",7097,1506850546,212322.18
201805,"04紙印刷業",2014,128591127,63848.62
201805,"05器械業",10735,982426320,91516.19
201805,"06批發業",41859,1426292900,34073.75
201805,"07零售業",8452,335938733,39746.66
201805,"08電子製造業",3269,1698732055,519648.84
201805,"09服務業",23038,3107950325,134905.39
201805,"10營建業",21967,2737175132,124603.96
201805,"11投資業",18,174101798,9672322.11
201805,"12金融保險業",3462,1007721763,291080.81
201805,"13其他",149,15088257,101263.47
201806,"01民生必需品製造業",7349,742365454,101015.85
201806,"02金屬製造業",9547,806111143,84436.07
201806,"03非金屬製造業",7142,1556371884,217918.21
201806,"04紙印刷業",2018,128281025,63568.40
201806,"05器械業",10718,969841948,90487.21
201806,"06批發業",41878,1414405071,33774.42
201806,"07零售業",8466,347333851,41026.91
201806,"08電子製造業",3250,1750265616,538543.27
201806,"09服務業",23057,2990277993,129690.68
201806,"10營建業",22136,2768397821,125063.15
201806,"11投資業",18,154480827,8582268.17
201806,"12金融保險業",3480,1061345826,304984.43
201806,"13其他",143,7057370,49352.24
201807,"01民生必需品製造業",7362,719326979,97708.09
201807,"02金屬製造業",9540,811392802,85051.66
201807,"03非金屬製造業",7163,1545383949,215745.35
201807,"04紙印刷業",2021,129772876,64212.21
201807,"05器械業",10667,974254517,91333.51
201807,"06批發業",41873,1430730202,34168.32
201807,"07零售業",8463,344820132,40744.43
201807,"08電子製造業",3245,1680069085,517740.86
201807,"09服務業",22959,2961538105,128992.47
201807,"10營建業",22242,2780077268,124992.23
201807,"11投資業",19,149516443,7869286.47
201807,"12金融保險業",3482,1013098539,290953.06
201807,"13其他",142,7033507,49531.74
201808,"01民生必需品製造業",7380,731165729,99073.95
201808,"02金屬製造業",9535,815883392,85567.21
201808,"03非金屬製造業",7167,1593147981,222289.38
201808,"04紙印刷業",2013,128295109,63733.29
201808,"05器械業",10652,991539603,93084.83
201808,"06批發業",41907,1435956890,34265.32
201808,"07零售業",8508,348618048,40975.32
201808,"08電子製造業",3241,1843722912,568874.70
201808,"09服務業",22963,2945523886,128272.61
201808,"10營建業",22340,2802448553,125445.32
201808,"11投資業",19,149285132,7857112.21
201808,"12金融保險業",3482,966784182,277651.98
201808,"13其他",141,7013378,49740.27
201809,"01民生必需品製造業",7386,756728554,102454.45
201809,"02金屬製造業",9544,822520235,86181.92
201809,"03非金屬製造業",7176,1587208962,221182.97
201809,"04紙印刷業",2016,128158981,63570.92
201809,"05器械業",10660,994090690,93254.29
201809,"06批發業",41871,1442296067,34446.18
201809,"07零售業",8545,355740808,41631.46
201809,"08電子製造業",3242,1879748175,579811.28
201809,"09服務業",23025,2953617401,128278.71
201809,"10營建業",22482,2836459454,126165.80
201809,"11投資業",20,149500378,7475018.90
201809,"12金融保險業",3502,991204897,283039.66
201809,"13其他",138,6705770,48592.54
201810,"01民生必需品製造業",7350,744973298,101356.91
201810,"02金屬製造業",9554,830786573,86956.94
201810,"03非金屬製造業",7195,1561315599,217000.08
201810,"04紙印刷業",2015,125827008,62445.17
201810,"05器械業",10675,995209234,93228.03
201810,"06批發業",41885,1456603434,34776.25
201810,"07零售業",8582,348021704,40552.52
201810,"08電子製造業",3233,1764355682,545733.28
201810,"09服務業",23036,2996755932,130090.12
201810,"10營建業",22660,2882852995,127222.11
201810,"11投資業",22,140603241,6391056.41
201810,"12金融保險業",3510,983073027,280077.79
201810,"13其他",135,7085068,52481.99
201811,"01民生必需品製造業",7350,748273713,101805.95
201811,"02金屬製造業",9585,835146811,87130.60
201811,"03非金屬製造業",7226,1579663825,218608.33
201811,"04紙印刷業",2024,126844446,62670.18
201811,"05器械業",10683,1002453267,93836.31
201811,"06批發業",41972,1455870548,34686.71
201811,"07零售業",8590,346751763,40366.91
201811,"08電子製造業",3241,1904293279,587563.49
201811,"09服務業",23040,2984545562,129537.57
201811,"10營建業",22791,2896142640,127073.96
201811,"11投資業",24,140771876,5865494.83
201811,"12金融保險業",3536,1004501750,284078.55
201811,"13其他",134,6917612,51623.97
201812,"01民生必需品製造業",7384,765074846,103612.52
201812,"02金屬製造業",9662,827171204,85610.76
201812,"03非金屬製造業",7301,1587423636,217425.51
201812,"04紙印刷業",2034,127534346,62701.25
201812,"05器械業",10765,993132671,92255.71
201812,"06批發業",42046,1437608156,34191.32
201812,"07零售業",8609,341755187,39697.43
201812,"08電子製造業",3231,1809116200,559924.54
201812,"09服務業",23051,3014856663,130790.71
201812,"10營建業",23026,2926421553,127092.05
201812,"11投資業",24,139882078,5828419.92
201812,"12金融保險業",3595,1025334050,285211.14
201812,"13其他",132,6918466,52412.62
201901,"01民生必需品製造業",7323,752436462,102749.76
201901,"02金屬製造業",9582,824818938,86080.04
201901,"03非金屬製造業",7277,1586942437,218076.47
201901,"04紙印刷業",2039,127058658,62314.20
201901,"05器械業",10727,1006925936,93868.36
201901,"06批發業",41990,1442024789,34342.10
201901,"07零售業",8549,338336704,39576.17
201901,"08電子製造業",3198,1786528684,558639.36
201901,"09服務業",23029,3169023664,137610.13
201901,"10營建業",23114,2956545515,127911.46
201901,"11投資業",21,167476890,7975090.00
201901,"12金融保險業",3592,1034787988,288081.29
201901,"13其他",134,5222232,38971.88

